"body_mass_value","migration_strategy","population"
111000,"for_strat_watbelowsurf",0
111000,"for_strat_wataroundsurf",0
111000,"for_strat_ground",100
111000,"for_strat_understory",0
111000,"for_strat_midhigh",0
111000,"for_strat_canopy",0
111000,"for_strat_aerial",0
23000,"for_strat_watbelowsurf",0
23000,"for_strat_wataroundsurf",0
23000,"for_strat_ground",100
23000,"for_strat_understory",0
23000,"for_strat_midhigh",0
23000,"for_strat_canopy",0
23000,"for_strat_aerial",0
23900,"for_strat_watbelowsurf",0
23900,"for_strat_wataroundsurf",0
23900,"for_strat_ground",100
23900,"for_strat_understory",0
23900,"for_strat_midhigh",0
23900,"for_strat_canopy",0
23900,"for_strat_aerial",0
44000,"for_strat_watbelowsurf",0
44000,"for_strat_wataroundsurf",0
44000,"for_strat_ground",80
44000,"for_strat_understory",20
44000,"for_strat_midhigh",0
44000,"for_strat_canopy",0
44000,"for_strat_aerial",0
34999.99,"for_strat_watbelowsurf",0
34999.99,"for_strat_wataroundsurf",0
34999.99,"for_strat_ground",80
34999.99,"for_strat_understory",20
34999.99,"for_strat_midhigh",0
34999.99,"for_strat_canopy",0
34999.99,"for_strat_aerial",0
46073.85,"for_strat_watbelowsurf",0
46073.85,"for_strat_wataroundsurf",0
46073.85,"for_strat_ground",80
46073.85,"for_strat_understory",20
46073.85,"for_strat_midhigh",0
46073.85,"for_strat_canopy",0
46073.85,"for_strat_aerial",0
34093.25,"for_strat_watbelowsurf",0
34093.25,"for_strat_wataroundsurf",0
34093.25,"for_strat_ground",20
34093.25,"for_strat_understory",80
34093.25,"for_strat_midhigh",0
34093.25,"for_strat_canopy",0
34093.25,"for_strat_aerial",0
2320.51,"for_strat_watbelowsurf",0
2320.51,"for_strat_wataroundsurf",0
2320.51,"for_strat_ground",100
2320.51,"for_strat_understory",0
2320.51,"for_strat_midhigh",0
2320.51,"for_strat_canopy",0
2320.51,"for_strat_aerial",0
1238.29,"for_strat_watbelowsurf",0
1238.29,"for_strat_wataroundsurf",0
1238.29,"for_strat_ground",80
1238.29,"for_strat_understory",20
1238.29,"for_strat_midhigh",0
1238.29,"for_strat_canopy",0
1238.29,"for_strat_aerial",0
2022.68,"for_strat_watbelowsurf",0
2022.68,"for_strat_wataroundsurf",0
2022.68,"for_strat_ground",80
2022.68,"for_strat_understory",20
2022.68,"for_strat_midhigh",0
2022.68,"for_strat_canopy",0
2022.68,"for_strat_aerial",0
1600.1,"for_strat_watbelowsurf",0
1600.1,"for_strat_wataroundsurf",0
1600.1,"for_strat_ground",100
1600.1,"for_strat_understory",0
1600.1,"for_strat_midhigh",0
1600.1,"for_strat_canopy",0
1600.1,"for_strat_aerial",0
1386.41,"for_strat_watbelowsurf",0
1386.41,"for_strat_wataroundsurf",0
1386.41,"for_strat_ground",100
1386.41,"for_strat_understory",0
1386.41,"for_strat_midhigh",0
1386.41,"for_strat_canopy",0
1386.41,"for_strat_aerial",0
1285,"for_strat_watbelowsurf",0
1285,"for_strat_wataroundsurf",0
1285,"for_strat_ground",100
1285,"for_strat_understory",0
1285,"for_strat_midhigh",0
1285,"for_strat_canopy",0
1285,"for_strat_aerial",0
1026.21,"for_strat_watbelowsurf",0
1026.21,"for_strat_wataroundsurf",0
1026.21,"for_strat_ground",100
1026.21,"for_strat_understory",0
1026.21,"for_strat_midhigh",0
1026.21,"for_strat_canopy",0
1026.21,"for_strat_aerial",0
686.18,"for_strat_watbelowsurf",0
686.18,"for_strat_wataroundsurf",0
686.18,"for_strat_ground",100
686.18,"for_strat_understory",0
686.18,"for_strat_midhigh",0
686.18,"for_strat_canopy",0
686.18,"for_strat_aerial",0
763,"for_strat_watbelowsurf",0
763,"for_strat_wataroundsurf",0
763,"for_strat_ground",100
763,"for_strat_understory",0
763,"for_strat_midhigh",0
763,"for_strat_canopy",0
763,"for_strat_aerial",0
674.5,"for_strat_watbelowsurf",0
674.5,"for_strat_wataroundsurf",0
674.5,"for_strat_ground",100
674.5,"for_strat_understory",0
674.5,"for_strat_midhigh",0
674.5,"for_strat_canopy",0
674.5,"for_strat_aerial",0
586,"for_strat_watbelowsurf",0
586,"for_strat_wataroundsurf",0
586,"for_strat_ground",100
586,"for_strat_understory",0
586,"for_strat_midhigh",0
586,"for_strat_canopy",0
586,"for_strat_aerial",0
516.83,"for_strat_watbelowsurf",0
516.83,"for_strat_wataroundsurf",0
516.83,"for_strat_ground",80
516.83,"for_strat_understory",20
516.83,"for_strat_midhigh",0
516.83,"for_strat_canopy",0
516.83,"for_strat_aerial",0
506.63,"for_strat_watbelowsurf",0
506.63,"for_strat_wataroundsurf",0
506.63,"for_strat_ground",100
506.63,"for_strat_understory",0
506.63,"for_strat_midhigh",0
506.63,"for_strat_canopy",0
506.63,"for_strat_aerial",0
216.16,"for_strat_watbelowsurf",0
216.16,"for_strat_wataroundsurf",0
216.16,"for_strat_ground",100
216.16,"for_strat_understory",0
216.16,"for_strat_midhigh",0
216.16,"for_strat_canopy",0
216.16,"for_strat_aerial",0
411.51,"for_strat_watbelowsurf",0
411.51,"for_strat_wataroundsurf",0
411.51,"for_strat_ground",80
411.51,"for_strat_understory",20
411.51,"for_strat_midhigh",0
411.51,"for_strat_canopy",0
411.51,"for_strat_aerial",0
443.4,"for_strat_watbelowsurf",0
443.4,"for_strat_wataroundsurf",0
443.4,"for_strat_ground",100
443.4,"for_strat_understory",0
443.4,"for_strat_midhigh",0
443.4,"for_strat_canopy",0
443.4,"for_strat_aerial",0
422,"for_strat_watbelowsurf",0
422,"for_strat_wataroundsurf",0
422,"for_strat_ground",100
422,"for_strat_understory",0
422,"for_strat_midhigh",0
422,"for_strat_canopy",0
422,"for_strat_aerial",0
564.42,"for_strat_watbelowsurf",0
564.42,"for_strat_wataroundsurf",0
564.42,"for_strat_ground",100
564.42,"for_strat_understory",0
564.42,"for_strat_midhigh",0
564.42,"for_strat_canopy",0
564.42,"for_strat_aerial",0
283,"for_strat_watbelowsurf",0
283,"for_strat_wataroundsurf",0
283,"for_strat_ground",80
283,"for_strat_understory",20
283,"for_strat_midhigh",0
283,"for_strat_canopy",0
283,"for_strat_aerial",0
430.58,"for_strat_watbelowsurf",0
430.58,"for_strat_wataroundsurf",0
430.58,"for_strat_ground",80
430.58,"for_strat_understory",20
430.58,"for_strat_midhigh",0
430.58,"for_strat_canopy",0
430.58,"for_strat_aerial",0
435.62,"for_strat_watbelowsurf",0
435.62,"for_strat_wataroundsurf",0
435.62,"for_strat_ground",100
435.62,"for_strat_understory",0
435.62,"for_strat_midhigh",0
435.62,"for_strat_canopy",0
435.62,"for_strat_aerial",0
411.51,"for_strat_watbelowsurf",0
411.51,"for_strat_wataroundsurf",0
411.51,"for_strat_ground",80
411.51,"for_strat_understory",20
411.51,"for_strat_midhigh",0
411.51,"for_strat_canopy",0
