"ioc_order","bl_family_english","scientific","english","diet_inv","diet_vend","diet_vect","diet_vfish","diet_vunk","diet_scav","diet_fruit","diet_nect","diet_seed","diet_plant_o","diet_5cat","for_strat_watbelowsurf","for_strat_wataroundsurf","for_strat_ground","for_strat_understory","for_strat_midhigh","for_strat_canopy","for_strat_aerial","nocturnal","body_mass_value"
"Struthioniformes","Ostriches","Struthio camelus","Ostrich",10,0,0,0,10,0,0,0,30,50,"PlantSeed",0,0,100,0,0,0,0,0,111000
"Rheiformes","Rheas","Rhea americana","Greater Rhea",20,10,10,0,0,0,20,0,20,20,"Omnivore",0,0,100,0,0,0,0,0,23000
"Rheiformes","Rheas","Rhea pennata","Lesser Rhea",20,0,0,0,10,0,0,0,30,40,"PlantSeed",0,0,100,0,0,0,0,0,23900
"Casuariiformes","Cassowaries","Casuarius casuarius","Southern Cassowary",10,0,0,0,10,0,80,0,0,0,"FruiNect",0,0,80,20,0,0,0,0,44000
"Casuariiformes","Cassowaries","Casuarius bennetti","Dwarf Cassowary",10,0,0,0,10,0,80,0,0,0,"FruiNect",0,0,80,20,0,0,0,0,34999.99
"Casuariiformes","Cassowaries","Casuarius unappendiculatus","Northern Cassowary",20,0,0,0,10,0,60,0,0,10,"FruiNect",0,0,80,20,0,0,0,0,46073.85
"Casuariiformes","Emus","Dromaius novaehollandiae","Emu",20,0,0,0,0,0,30,0,30,20,"Omnivore",0,0,20,80,0,0,0,0,34093.25
"Apterygiformes","Kiwis","Apteryx australis","Southern Brown Kiwi",80,0,0,0,0,0,10,0,0,10,"Invertebrate",0,0,100,0,0,0,0,1,2320.51
"Apterygiformes","Kiwis","Apteryx owenii","Little Spotted Kiwi",80,0,0,0,0,0,10,0,0,10,"Invertebrate",0,0,80,20,0,0,0,1,1238.29
"Apterygiformes","Kiwis","Apteryx haastii","Great Spotted Kiwi",100,0,0,0,0,0,0,0,0,0,"Invertebrate",0,0,80,20,0,0,0,1,2022.68
"Tinamiformes","Tinamous","Tinamus tao","Grey Tinamou",10,0,0,0,0,0,40,0,30,20,"Omnivore",0,0,100,0,0,0,0,0,1600.1
"Tinamiformes","Tinamous","Tinamus solitarius","Solitary Tinamou",20,0,0,0,0,0,40,0,20,20,"Omnivore",0,0,100,0,0,0,0,0,1386.41
"Tinamiformes","Tinamous","Tinamus osgoodi","Black Tinamou",0,0,0,0,0,0,50,0,40,10,"Omnivore",0,0,100,0,0,0,0,0,1285
"Tinamiformes","Tinamous","Tinamus major","Great Tinamou",20,0,10,0,0,0,40,0,30,0,"Omnivore",0,0,100,0,0,0,0,0,1026.21
"Tinamiformes","Tinamous","Tinamus guttatus","White-throated Tinamou",20,0,0,0,20,0,60,0,0,0,"FruiNect",0,0,100,0,0,0,0,0,686.18
"Tinamiformes","Tinamous","Nothocercus bonapartei","Highland Tinamou",30,0,0,0,20,0,50,0,0,0,"Omnivore",0,0,100,0,0,0,0,0,763
"Tinamiformes","Tinamous","Nothocercus julius","Tawny-breasted Tinamou",30,0,0,0,20,0,30,0,20,0,"Omnivore",0,0,100,0,0,0,0,0,674.5
"Tinamiformes","Tinamous","Nothocercus nigrocapillus","Hooded Tinamou",0,0,0,0,0,0,0,0,100,0,"PlantSeed",0,0,100,0,0,0,0,0,586
"Tinamiformes","Tinamous","Crypturellus berlepschi","Berlepsch's Tinamou",30,0,0,0,0,0,20,0,40,10,"Omnivore",0,0,80,20,0,0,0,0,516.83
