"diet_inv","diet_vend","diet_vect","diet_vfish","diet_vunk","diet_scav","diet_fruit","diet_nect","diet_seed","diet_plant_o","body_mass_value"
10,0,0,0,10,0,0,0,30,50,111000
20,10,10,0,0,0,20,0,20,20,23000
20,0,0,0,10,0,0,0,30,40,23900
10,0,0,0,10,0,80,0,0,0,44000
10,0,0,0,10,0,80,0,0,0,34999.99
20,0,0,0,10,0,60,0,0,10,46073.85
20,0,0,0,0,0,30,0,30,20,34093.25
80,0,0,0,0,0,10,0,0,10,2320.51
80,0,0,0,0,0,10,0,0,10,1238.29
100,0,0,0,0,0,0,0,0,0,2022.68
10,0,0,0,0,0,40,0,30,20,1600.1
20,0,0,0,0,0,40,0,20,20,1386.41
0,0,0,0,0,0,50,0,40,10,1285
20,0,10,0,0,0,40,0,30,0,1026.21
20,0,0,0,20,0,60,0,0,0,686.18
30,0,0,0,20,0,50,0,0,0,763
30,0,0,0,20,0,30,0,20,0,674.5
0,0,0,0,0,0,0,0,100,0,586
30,0,0,0,0,0,20,0,40,10,516.83
0,0,0,0,0,0,100,0,0,0,506.63
20,0,0,0,0,0,40,0,20,20,216.16
30,0,0,0,0,0,20,0,40,10,411.51
50,0,0,0,0,0,0,0,50,0,443.4
30,0,10,0,0,0,30,0,30,0,422
0,0,0,0,0,0,100,0,0,0,564.42
30,0,0,0,0,0,20,0,40,10,283
30,0,0,0,0,0,20,0,40,10,430.58
20,0,0,0,0,0,40,0,40,0,435.62
30,0,0,0,0,0,20,0,40,10,411.51
30,0,0,0,0,0,20,0,40,10,485
30,0,0,0,0,0,20,0,40,10,426
30,0,0,0,0,0,0,0,30,40,561.99
30,0,0,0,0,0,20,0,40,10,453
0,0,0,0,0,0,100,0,0,0,378
30,0,0,0,0,0,20,0,40,10,411.51
30,0,0,0,0,0,20,0,40,10,241
40,0,0,0,0,0,0,0,60,0,198.99
30,0,0,0,0,0,20,0,40,10,411.51
50,0,0,0,0,0,0,0,30,20,218.8
40,0,0,0,10,0,0,0,30,20,843.47
40,0,0,0,0,0,10,0,20,30,475.31
20,0,0,0,0,0,10,0,20,50,619.27
20,0,0,0,0,0,10,0,20,50,300.73
60,0,0,0,0,0,20,0,20,0,523.89
40,0,0,0,0,0,10,0,20,30,458
40,0,0,0,0,0,10,0,20,30,376
50,0,0,0,0,0,0,0,40,10,244.58
40,0,0,0,0,0,20,0,40,0,226.08
40,0,0,0,0,0,30,0,30,0,257.48
40,0,0,0,0,0,20,0,40,0,165.8
40,0,0,0,0,0,20,0,40,0,283
50,0,0,0,0,0,0,0,50,0,43
30,0,0,0,0,0,0,0,40,30,702.9
30,0,0,0,0,0,0,0,40,30,772.93
0,0,0,0,0,0,0,0,40,60,650
0,0,0,0,0,0,0,0,40,60,730
0,0,0,0,0,0,60,0,0,40,562.6
0,0,0,0,0,0,80,0,0,20,493
0,0,0,0,0,0,60,0,0,40,532
0,0,0,0,0,0,60,0,0,40,586.24
0,0,0,0,0,0,50,0,0,50,632
0,0,0,0,0,0,100,0,0,0,833.99
0,0,0,0,0,0,30,0,30,40,760
20,0,0,0,0,0,30,0,10,40,539
10,0,0,0,0,0,70,0,0,20,495.82
0,0,0,0,0,0,90,0,10,0,547.72
0,0,0,0,0,0,100,0,0,0,520
0,0,0,0,0,0,60,0,0,40,578.6
0,0,0,0,0,0,100,0,0,0,806.71
0,0,0,0,0,0,100,0,0,0,1179.66
0,0,0,0,0,0,80,0,0,20,1179.66
0,0,0,0,0,0,100,0,0,0,706
0,0,0,0,0,0,100,0,0,0,879.67
10,0,0,0,0,0,90,0,0,0,894.99
0,0,0,0,0,0,80,0,0,20,1230
10,0,0,0,0,0,70,0,0,20,2060
0,0,0,0,0,0,80,0,0,20,1179.66
0,0,0,0,0,0,50,0,0,50,1750
0,0,0,0,0,0,80,0,20,0,1487.9
0,0,0,0,0,0,80,0,0,20,1770
0,0,0,0,0,0,80,0,0,20,1249.79
0,0,0,0,0,0,70,0,0,30,1179.66
0,0,0,0,0,0,80,0,0,20,1282
0,0,0,0,0,0,100,0,0,0,1816.59
10,0,0,0,0,0,80,0,0,10,1239.22
10,0,0,0,0,0,60,0,20,10,1195.82
10,0,0,0,0,0,70,0,10,10,1240.96
0,0,0,0,0,0,100,0,0,0,1405.08
0,0,0,0,0,0,80,0,0,20,1135
0,0,0,0,0,0,80,0,10,10,727.67
0,0,0,0,0,0,100,0,0,0,889.99
0,0,0,0,0,0,50,0,0,50,2071.54
0,0,0,0,0,0,70,0,10,20,1700
0,0,0,0,0,0,70,0,20,10,2187.62
0,0,0,0,0,0,40,0,40,20,3100
10,0,0,0,0,0,70,0,10,10,2769.46
0,0,0,0,0,0,100,0,0,0,2850.47
0,0,0,0,0,0,40,0,40,20,3117.69
0,0,0,0,0,0,30,0,70,0,3743.23
10,0,0,0,0,0,80,0,0,10,4133
0,0,0,0,0,0,90,0,0,10,2800
0,0,0,0,0,0,90,0,0,10,2499.91
0,0,0,0,0,0,90,0,0,10,2872
20,0,0,0,10,0,50,0,20,0,2500
0,0,0,0,0,0,80,0,10,10,2600
10,0,0,0,0,0,70,0,10,10,3500
20,0,0,0,0,0,20,0,20,40,2333.06
10,0,0,0,0,0,50,0,40,0,1463.8
10,0,0,0,0,0,50,0,40,0,192
60,0,10,0,0,0,30,0,0,0,1785
60,0,10,0,0,0,30,0,0,0,1314.47
60,0,10,0,0,0,30,0,0,0,1478.81
60,0,0,0,0,0,40,0,0,0,1563.26
100,0,0,0,0,0,0,0,0,0,836.69
100,0,0,0,0,0,0,0,0,0,1044
100,0,0,0,0,0,0,0,0,0,768.57
30,0,0,0,0,0,0,0,0,70,875.81
100,0,0,0,0,0,0,0,0,0,642.48
70,0,0,0,0,0,10,0,10,10,666.34
30,0,0,0,0,0,40,0,30,0,676.67
70,0,0,0,0,0,10,0,10,10,768.57
70,0,0,0,0,0,10,0,10,10,308
100,0,0,0,0,0,0,0,0,0,365
70,0,0,0,0,0,10,0,10,10,504.97
10,0,0,0,0,0,10,0,40,40,1913.89
0,0,0,0,0,0,0,0,20,80,567.34
10,0,0,0,0,0,20,0,20,50,201.86
30,0,0,0,0,0,30,0,30,10,189.73
0,0,0,0,0,0,0,0,0,100,1830.79
0,0,0,0,0,0,0,0,0,100,2508.24
0,0,0,0,0,0,0,0,0,100,1488.87
10,0,0,0,0,0,20,0,20,50,2760.43
0,0,0,0,0,0,20,0,0,80,2428
0,0,0,0,0,0,10,0,0,90,855.35
0,0,0,0,0,0,0,0,0,100,1052.99
10,0,0,0,0,0,20,0,20,50,416.33
30,0,0,0,0,0,0,0,30,40,614.75
20,0,0,0,0,0,0,0,10,70,502.1
30,0,0,0,0,0,0,0,30,40,441
10,0,0,0,0,0,0,0,20,70,541.35
30,0,0,0,0,0,0,0,0,70,594.11
10,0,0,0,0,0,10,0,20,60,527.86
10,0,0,0,0,0,0,20,20,50,452.07
10,0,0,0,0,0,20,20,0,50,286.84
30,0,0,0,0,0,0,0,40,30,310
10,0,0,0,0,0,20,0,30,40,249.94
20,0,0,0,0,0,0,0,40,40,509.99
20,0,0,0,0,0,0,0,40,40,262
50,0,0,0,0,0,0,0,30,20,276
20,0,0,0,0,0,0,0,40,40,236.58
90,0,0,0,0,0,10,0,0,0,269
70,0,0,0,0,0,10,0,0,20,340.47
50,0,0,0,0,0,0,0,30,20,385
60,0,0,0,0,0,0,0,40,0,569.2
20,0,0,0,0,0,10,0,10,60,389.68
40,0,0,0,0,0,0,0,0,60,430.88
0,0,0,0,0,0,0,0,0,100,478.33
30,0,0,0,0,0,0,0,20,50,488
20,0,0,0,0,0,20,0,20,40,376.69
20,0,0,0,0,0,20,0,30,30,310
30,0,0,0,0,0,0,0,0,70,241.45
10,0,0,0,0,0,30,0,20,40,439.5
40,0,0,0,0,0,30,0,30,0,469.61
40,0,0,0,0,0,30,0,30,0,571
20,0,0,0,0,0,20,0,30,30,493.02
40,0,0,0,0,0,20,0,10,30,428.03
30,0,0,0,0,0,20,0,20,30,629.84
10,0,0,0,0,0,0,0,30,60,531.98
30,0,0,0,0,0,0,0,0,70,508.09
30,0,0,0,0,0,0,0,0,70,544.14
30,0,0,0,0,0,0,0,0,70,449.45
40,0,0,0,0,0,0,0,30,30,288.49
20,0,0,0,0,0,10,0,20,50,640.61
20,0,0,0,0,0,0,0,20,60,706.13
10,0,0,0,0,0,20,0,0,70,454.81
20,0,0,0,0,0,0,0,40,40,597.1
30,0,0,0,0,0,0,0,0,70,1197.81
30,0,0,0,0,0,40,0,30,0,699.6
