"body_mass_value","diet_type","population"
111000,"inv",10
111000,"vend",0
111000,"vect",0
111000,"vfish",0
111000,"vunk",10
111000,"scav",0
111000,"fruit",0
111000,"nect",0
111000,"seed",30
111000,"plant_o",50
23000,"inv",20
23000,"vend",10
23000,"vect",10
23000,"vfish",0
23000,"vunk",0
23000,"scav",0
23000,"fruit",20
23000,"nect",0
23000,"seed",20
23000,"plant_o",20
23900,"inv",20
23900,"vend",0
23900,"vect",0
23900,"vfish",0
23900,"vunk",10
23900,"scav",0
23900,"fruit",0
23900,"nect",0
23900,"seed",30
23900,"plant_o",40
44000,"inv",10
44000,"vend",0
44000,"vect",0
44000,"vfish",0
44000,"vunk",10
44000,"scav",0
44000,"fruit",80
44000,"nect",0
44000,"seed",0
44000,"plant_o",0
34999.99,"inv",10
34999.99,"vend",0
34999.99,"vect",0
34999.99,"vfish",0
34999.99,"vunk",10
34999.99,"scav",0
34999.99,"fruit",80
34999.99,"nect",0
34999.99,"seed",0
34999.99,"plant_o",0
46073.85,"inv",20
46073.85,"vend",0
46073.85,"vect",0
46073.85,"vfish",0
46073.85,"vunk",10
46073.85,"scav",0
46073.85,"fruit",60
46073.85,"nect",0
46073.85,"seed",0
46073.85,"plant_o",10
34093.25,"inv",20
34093.25,"vend",0
34093.25,"vect",0
34093.25,"vfish",0
34093.25,"vunk",0
34093.25,"scav",0
34093.25,"fruit",30
34093.25,"nect",0
34093.25,"seed",30
34093.25,"plant_o",20
2320.51,"inv",80
2320.51,"vend",0
2320.51,"vect",0
2320.51,"vfish",0
2320.51,"vunk",0
2320.51,"scav",0
2320.51,"fruit",10
2320.51,"nect",0
2320.51,"seed",0
2320.51,"plant_o",10
1238.29,"inv",80
1238.29,"vend",0
1238.29,"vect",0
1238.29,"vfish",0
1238.29,"vunk",0
1238.29,"scav",0
1238.29,"fruit",10
1238.29,"nect",0
1238.29,"seed",0
1238.29,"plant_o",10
2022.68,"inv",100
2022.68,"vend",0
2022.68,"vect",0
2022.68,"vfish",0
2022.68,"vunk",0
2022.68,"scav",0
2022.68,"fruit",0
2022.68,"nect",0
2022.68,"seed",0
2022.68,"plant_o",0
1600.1,"inv",10
1600.1,"vend",0
1600.1,"vect",0
1600.1,"vfish",0
1600.1,"vunk",0
1600.1,"scav",0
1600.1,"fruit",40
1600.1,"nect",0
1600.1,"seed",30
1600.1,"plant_o",20
1386.41,"inv",20
1386.41,"vend",0
1386.41,"vect",0
1386.41,"vfish",0
1386.41,"vunk",0
1386.41,"scav",0
1386.41,"fruit",40
1386.41,"nect",0
1386.41,"seed",20
1386.41,"plant_o",20
1285,"inv",0
1285,"vend",0
1285,"vect",0
1285,"vfish",0
1285,"vunk",0
1285,"scav",0
1285,"fruit",50
1285,"nect",0
1285,"seed",40
1285,"plant_o",10
1026.21,"inv",20
1026.21,"vend",0
1026.21,"vect",10
1026.21,"vfish",0
1026.21,"vunk",0
1026.21,"scav",0
1026.21,"fruit",40
1026.21,"nect",0
1026.21,"seed",30
1026.21,"plant_o",0
686.18,"inv",20
686.18,"vend",0
686.18,"vect",0
686.18,"vfish",0
686.18,"vunk",20
686.18,"scav",0
686.18,"fruit",60
686.18,"nect",0
686.18,"seed",0
686.18,"plant_o",0
763,"inv",30
763,"vend",0
763,"vect",0
763,"vfish",0
763,"vunk",20
763,"scav",0
763,"fruit",50
763,"nect",0
763,"seed",0
763,"plant_o",0
674.5,"inv",30
674.5,"vend",0
674.5,"vect",0
674.5,"vfish",0
674.5,"vunk",20
674.5,"scav",0
674.5,"fruit",30
674.5,"nect",0
674.5,"seed",20
674.5,"plant_o",0
586,"inv",0
586,"vend",0
586,"vect",0
586,"vfish",0
586,"vunk",0
586,"scav",0
586,"fruit",0
586,"nect",0
586,"seed",100
586,"plant_o",0
516.83,"inv",30
516.83,"vend",0
516.83,"vect",0
516.83,"vfish",0
516.83,"vunk",0
516.83,"scav",0
516.83,"fruit",20
516.83,"nect",0
516.83,"seed",40
516.83,"plant_o",10
506.63,"inv",0
506.63,"vend",0
506.63,"vect",0
506.63,"vfish",0
506.63,"vunk",0
506.63,"scav",0
506.63,"fruit",100
506.63,"nect",0
506.63,"seed",0
506.63,"plant_o",0
216.16,"inv",20
216.16,"vend",0
216.16,"vect",0
216.16,"vfish",0
216.16,"vunk",0
216.16,"scav",0
216.16,"fruit",40
216.16,"nect",0
216.16,"seed",20
216.16,"plant_o",20
411.51,"inv",30
411.51,"vend",0
411.51,"vect",0
411.51,"vfish",0
411.51,"vunk",0
411.51,"scav",0
411.51,"fruit",20
411.51,"nect",0
411.51,"seed",40
411.51,"plant_o",10
